"Prov.State","Country","Lat","Long","Date","Confirmed","Deaths","Recovered"
"","Algeria",28.0339,1.6596,2020-01-30 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-01-31 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-01 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-02 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-03 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-04 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-05 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-06 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-07 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-08 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-09 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-10 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-11 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-12 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-13 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-14 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-15 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-16 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-17 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-18 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-19 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-20 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-21 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-22 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-23 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-24 07:00:00,0,0,0
"","Algeria",28.0339,1.6596,2020-02-25 07:00:00,1,0,0
"","Algeria",28.0339,1.6596,2020-02-26 07:00:00,1,0,0
"","Algeria",28.0339,1.6596,2020-02-27 07:00:00,1,0,0
"","Algeria",28.0339,1.6596,2020-02-28 07:00:00,1,0,0
"","Algeria",28.0339,1.6596,2020-02-29 07:00:00,1,0,0
"","Algeria",28.0339,1.6596,2020-03-01 07:00:00,1,0,0
"","Algeria",28.0339,1.6596,2020-03-02 07:00:00,3,0,0
"","Algeria",28.0339,1.6596,2020-03-03 07:00:00,5,0,0
"","Algeria",28.0339,1.6596,2020-03-04 07:00:00,12,0,0
"","Algeria",28.0339,1.6596,2020-03-05 07:00:00,12,0,0
"","Algeria",28.0339,1.6596,2020-03-06 07:00:00,17,0,0
"","Algeria",28.0339,1.6596,2020-03-07 07:00:00,17,0,0
"","Algeria",28.0339,1.6596,2020-03-08 08:00:00,19,0,0
"","Algeria",28.0339,1.6596,2020-03-09 08:00:00,20,0,0
"","Algeria",28.0339,1.6596,2020-03-10 08:00:00,20,0,0
"","Algeria",28.0339,1.6596,2020-03-11 08:00:00,20,0,0
"","Algeria",28.0339,1.6596,2020-03-12 08:00:00,24,1,8
"","Algeria",28.0339,1.6596,2020-03-13 08:00:00,26,2,8
"","Algeria",28.0339,1.6596,2020-03-14 08:00:00,37,3,12
"","Algeria",28.0339,1.6596,2020-03-15 08:00:00,48,4,12
"","Algeria",28.0339,1.6596,2020-03-16 08:00:00,54,4,12
"","Algeria",28.0339,1.6596,2020-03-17 08:00:00,60,4,12
"","Algeria",28.0339,1.6596,2020-03-18 08:00:00,74,7,12
"","Algeria",28.0339,1.6596,2020-03-19 08:00:00,87,9,32
"","Algeria",28.0339,1.6596,2020-03-20 08:00:00,90,11,32
